country	industry	score	a_weighted_rating	a_visibility	a_spread	a_volume	a_time	a_length	a_score
GB	automotive-tires	0.229882857142857	1.0	0.0	0.3	0.02	0.178571428571429	0.0	0.229882857142857
US	retail-special-services	0.850076326832382	0.902856441021007	0.0	0.669234449760766	0.93	1.0	0.76797385620915	0.850076326832382
US	home-services-cleaning	0.765808367181081	0.935153436730404	0.0	0.484054054054054	0.48	1.0	0.594594594594595	0.765808367181081
GB	restaurants-restaurants-other	0.629450402930781	0.953013120823182	0.0	0.38	0.09843137254902	0.589285714285714	0.413793103448276	0.629450402930781
US	entertainment-live-performance-&-sports	0.524123242654390	0.345859944890347	0.0	0.457407407407407	0.93	1.0	0.242788461538462	0.524123242654390
US	financial-services-insurance	0.701813084477151	0.99305877298544	0.0	0.603333333333333	0.295	0.357142857142857	0.5	0.701813084477151
US	automotive-repair-&-service	0.831116245744795	0.998603797089542	0.0	0.559701492537313	0.6	1.0	0.612903225806452	0.831116245744795
US	pets-veterinarians	0.849525554516455	0.926945219012459	0.0	0.693333333333333	0.73	1.0	0.440944881889764	0.849525554516455
US	home-services-moving-&-storage	0.885364750916043	0.987356753868521	0.0	0.779473684210526	0.86	1.0	0.333333333333333	0.885364750916043
US	real-estate-property-management	0.830141545048760	0.992103593336804	0.0	0.59	0.59	1.0	0.397058823529412	0.830141545048760
US	health-care-hospitals-&-facilities	0.798272416565813	0.850850792607196	0.0	0.71	0.71	1.0	0.645320197044335	0.798272416565813
US	health-care-home-care	0.634283432532204	0.816580526884141	0.0	0.252393162393162	0.38	1.0	0.1	0.634283432532204
GB	hospitality-&-travel-hotel-&-motel	0.768053722537248	0.853076846650043	0.0	0.608421052631579	0.67	1.0	0.543837357052097	0.768053722537248
US	beauty-spa	0.742916331005594	0.931903909039873	0.0	0.447796610169492	0.48	1.0	0.848101265822785	0.742916331005594
US	health-care-pediatricians	0.471726219020455	0.450050109713265	0.0	0.342127999166984	0.43	1.0	0.365714285714286	0.471726219020455
US	real-estate-real-estate-other	0.516554833052270	0.667055538785002	0.0	0.644285714285714	0.275	0.035714285714286	0.583333333333333	0.516554833052270
US	health-care-hospitals-&-facilities	0.760546437129168	0.952563744104856	0.0	0.56	0.5	0.952380952380952	0.310344827586207	0.760546437129168
US	entertainment-amusement-park	0.500696352933470	0.3879826381327	0.0	0.630434782608696	0.65	0.428571428571429	0.3875	0.500696352933470
US	entertainment-other	0.602570661185754	0.706903501414472	0.0	0.225925925925926	0.525	1.0	0.086792452830189	0.602570661185754
GB	automotive-tires	0.285206190891588	0.251295433306448	0.0	0.58	0.2	0.035714285714286	0.555555555555556	0.285206190891588
US	wedding-&-special-events-event-planners	0.237482120620639	0.143578671820545	0.0	0.43	0.3	0.214285714285714	0.578947368421053	0.237482120620639
US	pets-veterinarians	0.827896229939298	0.909754526798619	0.0	0.789512195121951	0.7	0.964285714285714	0.466666666666667	0.827896229939298
US	beauty-spa	0.719485948384053	0.837001746271727	0.0	0.608461538461539	0.52	0.857142857142857	0.255813953488372	0.719485948384053
US	hospitality-&-travel-activities	0.589519504024717	0.436934173111668	0.0	0.715185185	0.715185185	1.0	0.726973684210526	0.589519504024717
CA	retail-special-services	0.735006349206349	1.0	0.0	0.4	0.4	0.821428571428571	0.607142857142857	0.735006349206349
US	legal-law-firm	0.627520841195766	0.495576590831539	0.0	0.9	0.9	0.571428571428571	0.818181818181818	0.627520841195766
US	pets-veterinarians	0.776862603967202	0.975689850478394	0.0	0.548867924528302	0.555	0.928571428571429	0.225352112676056	0.776862603967202
US	automotive-repair-&-service	0.865195009323734	0.959108376656793	0.0	0.88	0.855	0.714285714285714	0.813333333333333	0.865195009323734
US	automotive-parts	0.755202292351909	0.884500952969558	0.0	0.686666666666667	0.42	0.857142857142857	0.714285714285714	0.755202292351909
US	entertainment-other	0.467047890668090	0.452654363103749	0.0	0.88	0.25	0.392857142857143	0.076923076923077	0.467047890668090
US	financial-services-banks	0.641661651907845	0.839322451253458	0.0	0.88	0.2	0.285714285714286	0.222222222222222	0.641661651907845
US	technology-internet-service-provider	0.300029350274120	0.020628411638146	0.0	0.703333333333333	0.37	0.785714285714286	0.736842105263158	0.300029350274120
US	legal-legal-other	0.265501661597925	1.0	0.0	0.047923625	0.025	0.035714285714286	0.0	0.265501661597925
US	technology-technology-other	0.438010060722957	0.369731229553468	0.0	0.576923076923077	0.325	0.428571428571429	0.807692307692308	0.438010060722957
US	health-care-dentists	0.803965506418278	0.994825944423438	0.0	0.49	0.535	0.964285714285714	0.444444444444444	0.803965506418278
US	restaurants-restaurants-other	0.604669437119315	0.505866463562464	0.0	0.719709543568465	0.626666666666667	0.8125	0.321321321321321	0.604669437119315
US	retail-retail-other	0.766402771021084	0.741540609552364	0.0	0.88	0.775	1.0	0.48936170212766	0.766402771021084
US	retail-special-services	0.760248260045667	0.996306782730062	0.0	0.408571428571429	0.405	1.0	0.694444444444444	0.760248260045667
CA	automotive-oem	0.731885400650100	0.878726742036624	0.0	0.416802721088435	0.435	1.0	0.592105263157895	0.731885400650100
US	health-care-senior-care	0.763551074210368	0.904559043578011	0.0	0.583333333333333	0.55	0.928571428571429	0.64	0.763551074210368
US	financial-services-banks	0.613803656990559	0.755064009674134	0.0	0.615294117647059	0.425	0.357142857142857	0.791666666666667	0.613803656990559
US	retail-special-services	0.733336635944700	1.0	0.0	0.5	0.5	0.464285714285714	0.645161290322581	0.733336635944700
US	entertainment-other	0.491958103989997	0.510308418083376	0.0	0.262328767123288	0.53	0.785714285714286	0.107462686567164	0.491958103989997
US	restaurants-carry-out	0.750041516632681	0.863323055135665	0.0	0.7	0.575	0.785714285714286	0.507462686567164	0.750041516632681
CA	automotive-oem	0.728118583083469	0.951474594566199	0.0	0.41	0.41	0.535714285714286	0.857142857142857	0.728118583083469
US	retail-big-box	0.679535484912351	0.513455225856994	0.0	0.88	0.85	1.0	0.696969696969697	0.679535484912351
GB	technology-technology-other	0.636338578057989	0.825976812240917	0.0	0.355454545454546	0.335	0.428571428571429	0.830769230769231	0.636338578057989
CA	automotive-oem	0.730977061566349	0.866146246372382	0.0	0.422658227848101	0.435	1.0	0.705263157894737	0.730977061566349
US	hospitality-&-travel-activities	0.576254194078704	0.896302831006101	0.0	0.330617284	0.2	0.142857142857143	0.5625	0.576254194078704
US	real-estate-real-estate-agency	0.745792296918768	1.0	0.0	0.52	0.52	0.380952380952381	0.323529411764706	0.745792296918768
US	entertainment-live-performance-&-sports	0.519221354990260	0.321283241429453	0.0	0.451898734177215	0.93	1.0	0.329355608591886	0.519221354990260
US	beauty-skin-care	0.670868674670486	0.996771185754474	0.0	0.38	0.38	0.214285714285714	0.222222222222222	0.670868674670486
US	health-care-physicians	0.766471379051995	0.920789709252279	0.0	0.488593697938372	0.54	1.0	0.271739130434783	0.766471379051995
GB	restaurants-fine-dining	0.541550333362256	0.688166375180504	0.0	0.54	0.303333333333333	0.303571428571429	0.675	0.541550333362256
US	home-services-general-contracting	0.557224925774086	0.728750158166212	0.0	0.672222222222222	0.22	0.142857142857143	0.764705882352941	0.557224925774086
US	home-services-cleaning	0.845027777777778	1.0	0.0	0.88	0.45	1.0	0.631578947368421	0.845027777777778
US	retail-supermarkets	0.856886918684499	0.869794118361661	0.0	0.88	0.88	1.0	0.572164948453608	0.856886918684499
US	automotive-rental	0.880857105459063	0.946108938711974	0.0	0.88	0.796666666666667	1.0	0.656862745098039	0.880857105459063
US	real-estate-real-estate-agency	0.720466666666667	1.0	0.0	0.5	0.3	0.666666666666667	0.0	0.720466666666667
US	retail-supermarkets	0.877485725451555	0.957716654324214	0.0	0.677297297297297	0.88	0.952380952380952	0.640625	0.877485725451555
US	real-estate-property-management	0.831385511590913	0.986304281813884	0.0	0.59	0.59	1.0	0.493670886075949	0.831385511590913
US	pets-pets-other	0.100000000000000	0.0	0.0	0.0	0.0	0.0	0.0	0.100000000000000
US	hospitality-&-travel-activities	0.685413677009771	0.974921192295936	0.0	0.330617284	0.330617284	0.535714285714286	0.833333333333333	0.685413677009771
US	retail-retail-other	0.767885102046352	0.874974455099455	0.0	0.88	0.45	0.857142857142857	0.333333333333333	0.767885102046352
US	entertainment-other	0.585947519631128	0.477073547244175	0.0	0.211616161616162	0.93	1.0	0.117845117845118	0.585947519631128
US	legal-law-firm	0.618796209269668	0.744470721865536	0.0	0.5	0.35	0.75	0.555555555555556	0.618796209269668
US	beauty-skin-care	0.669321189190545	0.762166056657089	0.0	0.691666666666667	0.575	0.464285714285714	0.59375	0.669321189190545
GB	legal-legal-other	0.287732809452552	0.258707444564063	0.0	0.3	0.3	0.333333333333333	0.090909090909091	0.287732809452552
US	retail-department-stores	0.798483508519451	0.792459793376597	0.0	0.70253164556962	0.88	0.857142857142857	0.354430379746835	0.798483508519451
US	entertainment-amusement-park	0.589577050269127	0.282670807834179	0.0	0.88	0.88	1.0	0.708860759493671	0.589577050269127
US	education-education-other	0.755562498909343	0.907533801936229	0.0	0.758095238095238	0.52	0.571428571428571	0.758620689655172	0.755562498909343
US	retail-special-services	0.723508557862690	0.820642193430617	0.0	0.600731707317073	0.6	0.714285714285714	0.555555555555556	0.723508557862690
US	retail-retail-clothing	0.680804756206897	0.602987189331116	0.0	0.741702127659575	0.805	0.892857142857143	0.65	0.680804756206897
GB	restaurants-fine-dining	0.572491594362566	0.830152913665101	0.0	0.54	0.19	0.080357142857143	0.60952380952381	0.572491594362566
US	retail-department-stores	0.854857146226582	0.84981537458193	0.0	0.704453781512605	0.95	1.0	0.306818181818182	0.854857146226582
US	technology-technology-other	0.491491579786780	0.487278542786972	0.0	0.276	0.55	1.0	0.134920634920635	0.491491579786780
US	health-care-health-care-other	0.641962262912874	0.857767318074688	0.0	0.375454545454546	0.28	0.785714285714286	0.666666666666667	0.641962262912874
US	entertainment-other	0.485585345345459	0.173076157386211	0.0	0.742244897959184	0.88	1.0	0.677611940298508	0.485585345345459
US	financial-services-insurance	0.696027576461938	0.949764733304245	0.0	0.712857142857143	0.345	0.107142857142857	0.4	0.696027576461938
US	home-services-cleaning	0.694731047802652	0.983171910629487	0.0	0.5	0.5	0.0	0.739130434782609	0.694731047802652
US	health-care-senior-care	0.767604345493486	0.910415385939441	0.0	0.588235294117647	0.775	0.642857142857143	0.525252525252525	0.767604345493486
US	home-services-interior-design	0.452540740504508	0.432123960213282	0.0	0.43	0.405	0.5	0.85	0.452540740504508
US	health-care-physicians	0.801018680454768	0.955326405202297	0.0	0.491739130434783	0.495	1.0	0.822695035460993	0.801018680454768
US	real-estate-real-estate-other	0.475177426095478	0.438062251058274	0.0	0.88	0.2	0.5	0.846153846153846	0.475177426095478
US	legal-law-firm	0.599628441853406	0.44966261607947	0.0	0.564615384615385	0.93	1.0	0.744813278008299	0.599628441853406
US	real-estate-real-estate-other	0.454409723906294	0.274610061745919	0.0	0.93	0.475	0.714285714285714	0.472222222222222	0.454409723906294
US	real-estate-property-management	0.829681567379035	0.998339896049013	0.0	0.570989010989011	0.585	1.0	0.27	0.829681567379035
US	default-default	0.791594386448823	0.992183421724288	0.0	0.55	0.55	1.0	0.403921568627451	0.791594386448823
