industry,a_weighted_rating,a_visibility,a_spread,a_volume,a_time,a_length,a_score
health-care-hospitals-&-facilities,0.931020771926982,0.0,0.617335886677156,0.496222222233333,0.838095238095238,0.704302302486555,0.776027681306732
technology-electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.002926
health-care-pediatricians,0.587885787435767,0.0,0.523501512884964,0.3304012345,0.442857142857143,0.517558080355755,0.473810847790358
financial-services-banks,0.867467996518293,0.0,0.579889454524509,0.385984375,0.496428571428572,0.55557477353252,0.670672088360924
retail-supermarkets,0.908065509583259,0.0,0.820728591148252,0.849635416666667,0.933333333333333,0.604292217532574,0.863113797837331
hospitality-&-travel-hotel-&-motel,0.8413192311525,0.0,0.460357559396216,0.3875308643,0.730714285714286,0.657943151712093,0.687965226994607
automotive-automotive-other,0.900077280363051,0.0,0.615714720688416,0.523703125,0.814285714285714,0.588272912159691,0.766161110348789
health-care-health-care-other,0.938170744472389,0.0,0.384924350162005,0.2744259259,0.671428571428571,0.530409265441902,0.688699046017114
real-estate-mortgage,0.347359161044006,0.0,0.37546875,0.2,0.142857142857143,0.8,0.313563744234779
retail-retail-clothing,0.675204602968578,0.0,0.819838367527862,0.60184375,0.85,0.639001757734436,0.692221506639187
restaurants-fast-food,0.854585868760156,0.0,0.476652201905905,0.7446081084,1.0,0.612375009812208,0.779275335598486
wedding-&-special-events-event-planners,0.067324771374706,0.0,0.192734375,0.13,0.107142857142857,0.289473684210526,0.103452555766498
default-default,0.963815177793408,0.0,0.571785379126442,0.6075625,0.975,0.244424894849834,0.803419451174721
home-services-moving-&-storage,0.966694272491424,0.0,0.844861975234972,0.88309375,0.996428571428571,0.53542161878293,0.905081664336771
automotive-repair-&-service,0.954093881791167,0.0,0.844846914556962,0.78578125,0.75,0.715078222703223,0.856199740416613
education-education-other,0.971601551772318,0.0,0.688615478883861,0.501484375,0.510714285714286,0.837679090426368,0.777454420376159
real-estate-real-estate-agency,0.967088987104284,0.0,0.482327786126827,0.52875,0.45952380952381,0.518867696263245,0.744539371545548
retail-department-stores,0.782084803253178,0.0,0.79957245713071,0.837453125,0.996428571428571,0.371165299542482,0.81362804467763
financial-services-financial-services-other,0.931470458135221,0.0,0.489416727369852,0.30515625,0.296428571428571,0.582616003496237,0.671525248074429
home-services-cleaning,0.881867065322411,0.0,0.706638292310167,0.371359375,0.435714285714286,0.695797454204777,0.705080800592229
home-services-interior-design,0.591719143178059,0.0,0.451231472396651,0.41678125,0.625,0.7737893722447,0.554451788741452
health-care-optometrist-&-opthamologist,0.738817373840469,0.0,0.529389660673092,0.4413117281,0.514285714285714,0.569077615556211,0.619336230562876
retail-retail-other,0.858800596369935,0.0,0.726831978499372,0.714671875,0.903571428571428,0.625714113875001,0.795414067283434
pets-pets-other,0.559829426708663,0.0,0.20937487127451,0.146,0.19047619047619,0.401606425702811,0.261336191369129
health-care-physicians,0.929193263696123,0.0,0.461926820375584,0.495695652,0.975,0.404168096909711,0.768079546790735
home-services-home-services-other,0.979522432574041,0.0,0.692971557595374,0.569546875,0.85,0.674240661698735,0.821027701487053
health-care-home-care,0.940543947083263,0.0,0.589499690594059,0.234390625,0.260714285714286,0.401545945254427,0.643607497660875
health-care-medical-spa,0.162218779552737,0.0,0.281423611111111,0.155989583333333,0.238095238095238,0.39354781997187,0.154412966744452
real-estate-real-estate-other,0.638385065091997,0.0,0.615869609908636,0.303215625,0.428571428571429,0.580158344106206,0.491015625836993
automotive-tires,0.547558698978565,0.0,0.451436248682171,0.3620625,0.514285714285714,0.375966291798548,0.440963950977398
technology-mobile-provider,0.991846326902458,0.0,0.498960282651072,0.497625,0.95,0.117802669848002,0.783376109311424
entertainment-museums-and-parks,0.623688029719401,0.0,0.389001179574183,0.6212962962,1.0,0.492691999845259,0.606474362490021
health-care-dentists,0.982699374978248,0.0,0.342274599998229,0.34,0.892857142857143,0.459011439680444,0.739090056994096
real-estate-property-management,0.987654776416013,0.0,0.580014121336893,0.591480519,0.971428571428571,0.480469048955694,0.833364921434675
home-services-general-contracting,0.734233705541167,0.0,0.597285714285714,0.335,0.310714285714286,0.689043460839126,0.599242869771046
technology-technology-other,0.728944620077156,0.0,0.410048264230689,0.48328125,0.782142857142857,0.43818221232114,0.622156808300814
automotive-dealer,0.938543253242153,0.0,0.645533817547933,0.874590002590003,0.985281385281385,0.688692212508998,0.87863762476633
beauty-hair-grooming,0.682821762455785,0.0,0.398766235594361,0.373078125,0.478571428571429,0.585408337607081,0.549105031326953
entertainment-other,0.477388154316444,0.0,0.454883368966518,0.575875,0.896428571428572,0.315083789751828,0.539308549709532
wedding-&-special-events-party-venues,0.507082654593305,0.0,0.701318162751678,0.793046875,0.875,0.818590308370044,0.636974202013648
automotive-oem,0.913476211409203,0.0,0.430656878232878,0.4585185184,0.896428571428571,0.555131251522663,0.74712313478447
hospitality-&-travel-activities,0.756620289494951,0.0,0.37354198033289,0.3728734568,0.667857142857143,0.726013058190933,0.603281329395447
home-services-landscaping,0.42437290044564,0.0,0.433046875,0.13765625,0.0892857142857142,0.893465909090909,0.253867784237216
legal-legal-other,0.829546469970595,0.0,0.241912199,0.11525,0.257142857142857,0.393257575757576,0.354483034229558
uk-take-away-food-supplier,0.653825586611503,0.0,0.352,0.13225,0.303571428571429,0.298421052631579,0.303366871180223
pets-veterinarians,0.908150819030565,0.0,0.477697521518308,0.5076052634,0.914285714285714,0.537447554503707,0.750846381910528
beauty-beauty-other,0.9365685107568,0.0,0.824317708333333,0.47065625,0.339285714285714,0.769387186630867,0.760358058550343
health-care-plastic-&-cosmetic-surgeons,0.849265777988274,0.0,0.493833647240494,0.3607407407,0.521428571428571,0.720935436097888,0.663089113563703
pets-pet-services,0.564657918249066,0.0,0.414493371212121,0.154402777777778,0.265873015873016,0.44897422690933,0.361394578196948
health-care-senior-care,0.941844234677943,0.0,0.67432498982499,0.437,0.485714285714286,0.756347492709141,0.742827597459332
legal-law-firm,0.770285369964125,0.0,0.599467826933405,0.469859375,0.485714285714286,0.650484322360895,0.6468895267547
restaurants-carry-out,0.80122628804247,0.0,0.546015503366667,0.5026627902,0.764285714285714,0.508103353022585,0.700789542041863
retail-special-services,0.937112691952778,0.0,0.551400586917368,0.606484375,0.814285714285714,0.556619415442945,0.785798592333396
automotive-rental,0.92647403665177,0.0,0.895515892902433,0.882546875,1.0,0.590639291090113,0.891105556357359
restaurants-restaurants-other,0.613238938923154,0.0,0.521998345543521,0.39692893,0.446428571428571,0.567400411797024,0.532423400074659
entertainment-live-performance-&-sports,0.357945021591205,0.0,0.437650382681032,0.725703125,0.953571428571429,0.326187580524535,0.500685228767343
wedding-&-special-events-entertainers,0.0,0.0,0.0,0.0,0.0,0.0,0.00294
hospitality-&-travel-hospitality-&-travel-other,0.787096108034505,0.0,0.343884223997733,0.3429629632,0.917857142857143,0.634375913629198,0.634581628583963
financial-services-insurance,0.956671565457364,0.0,0.6275139387825,0.491765625,0.289285714285714,0.437066597353493,0.735803518461624
beauty-skin-care,0.882553077982592,0.0,0.494656325254576,0.469328125,0.703571428571429,0.627462842579812,0.709063387309055
entertainment-amusement-park,0.436632025262798,0.0,0.680123551180172,0.805892857142857,0.852040816326531,0.412023708136481,0.591398554524676
restaurants-fine-dining,0.846146479039025,0.0,0.357806666592075,0.318441798233333,0.558928571428572,0.663066681485838,0.62958950016821
